Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic_Regression,0.8774509803921569,0.8174603174603174,0.9809523809523809,0.8917748917748919,0.936988936988937
Random_Forest,0.9901960784313726,0.9813084112149533,1.0,0.9905660377358491,1.0
